Line,Date,Direction,Score
47,20210913,1,68.06888660444308
59,20210906,0,68.12
27,20210917,1,68.38018116731865
29,20210906,0,68.42097765269351
34,20210913,0,69.05860362162008
43,20210906,0,69.34423253132094
34,20210908,0,69.43839895846911
33,20210908,1,69.54966936814172
34,20210909,0,69.87208570270273
27,20210914,0,69.94476457420714
8,20210906,1,69.99
43,20210907,0,70.02634672222621
34,20210916,0,70.36544393837626
27,20210909,0,70.3666541689357
27,20210915,0,70.81368314889195
89,20210906,1,70.87049821108148
8,20210906,0,70.91
27,20210910,1,71.57333613882484
33,20210917,1,71.80205572755418
37,20210906,0,72.20564967213812
27,20210913,0,72.23473639322475
89,20210906,0,72.72344715764372
27,20210906,1,73.24590488480844
34,20210917,1,73.32833432266678
56,20210917,1,73.57171772057326
34,20210906,1,73.75684439655593
56,20210917,0,73.94664238991166
56,20210913,1,74.69376826095657
27,20210909,1,74.70266772251088
27,20210913,1,74.71298868702847
47,20210916,1,75.02212863145529
34,20210906,0,75.03660563008181
33,20210914,1,75.09197896558611
47,20210910,1,75.6219953666254
27,20210907,1,75.62942969913276
47,20210906,1,75.68347158335506
37,20210915,1,75.85174418354644
33,20210909,1,75.86523616381002
27,20210914,1,75.9419964394547
87,20210906,1,75.96052094961239
47,20210906,0,76.13754974993405
43,20210914,1,76.13808417044187
63,20210906,0,76.2608665729209
43,20210915,1,76.62122536865458
61,20210914,0,76.70176056338029
37,20210914,1,76.7709883765391
37,20210913,0,77.04076380899771
33,20210916,1,77.04715407071035
56,20210910,1,77.36550084011891
56,20210916,0,77.44035483870968
37,20210913,1,77.5789693855875
34,20210907,0,77.6389840948298
37,20210909,0,77.87743488150628
56,20210914,0,77.97202733776189
47,20210910,0,78.01910235806848
56,20210913,0,78.04269672968829
89,20210914,1,78.06632876066027
8,20210917,0,78.44
63,20210913,1,78.5199910952805
56,20210908,1,78.83429948626879
37,20210908,1,78.8770924006527
56,20210916,1,78.8828167585726
89,20210917,0,78.94016621291411
37,20210914,0,78.95290090616616
37,20210908,0,79.01956029123161
56,20210915,1,79.05476946429701
43,20210917,1,79.09900271756304
43,20210916,1,79.23702806685588
33,20210907,1,79.3565335684595
47,20210913,0,79.44425482192987
47,20210916,0,79.7373488911122
37,20210915,0,79.74524201920123
37,20210917,1,79.86994227929308
61,20210915,0,79.93121661721068
89,20210910,0,79.93603444125213
59,20210917,0,80.1
43,20210910,1,80.22351636023683
37,20210909,1,80.22634760941209
37,20210910,1,80.54315820998112
61,20210915,1,80.62765107272392
87,20210906,0,80.64499388053827
1,20210915,1,80.67142704247931
37,20210916,0,80.67996699117369
89,20210917,1,80.88755533684797
43,20210907,1,80.97437480703921
61,20210910,0,81.14288231669748
63,20210916,1,81.24040738695625
43,20210908,1,81.36288330363179
37,20210907,1,81.41247209468716
29,20210917,0,81.57698080420398
47,20210917,0,81.59800887973299
89,20210916,1,81.66323958812472
43,20210909,1,81.68499234865642
89,20210916,0,81.83522573472274
56,20210915,0,81.84511846604786
61,20210917,0,81.96126118449085
37,20210916,1,82.02109184943404
61,20210913,1,82.02494849131362
27,20210915,1,82.18336986351814
89,20210915,0,82.20743127732399
89,20210913,0,82.20849424297579
89,20210914,0,82.31835367370272
37,20210910,0,82.36783498932827
1,20210913,1,82.39648078356257
37,20210917,0,82.45688583615748
37,20210907,0,82.59169759267213
61,20210917,1,82.60042128200473
56,20210909,1,82.60791623797131
61,20210909,0,82.63805066344993
56,20210907,0,82.73946700507615
61,20210913,0,82.75065591527259
89,20210910,1,82.81310397233284
