route_id,direction_id,stop_sequence,stop_id
1,0,0,8642
1,0,1,8652
1,0,2,8662
1,0,3,8672
1,0,4,8682
1,0,5,8692
1,0,6,8702
1,0,7,8712
1,0,8,8722
1,0,9,8732
1,0,10,8742
1,0,11,8292
1,0,12,8282
1,0,13,8272
1,0,14,8012
1,0,15,8022
1,0,16,8032
1,0,17,8042
1,0,18,8052
1,0,19,8062
1,0,20,8072
1,0,21,8202
1,0,22,8212
1,0,23,8222
1,0,24,8232
1,0,25,8242
1,0,26,8252
1,0,27,8262
1,1,0,8261
1,1,1,8251
1,1,2,8241
1,1,3,8231
1,1,4,8221
1,1,5,8211
1,1,6,8201
1,1,7,8071
1,1,8,8061
1,1,9,8051
1,1,10,8041
1,1,11,8031
1,1,12,8021
1,1,13,8011
1,1,14,8271
1,1,15,8281
1,1,16,8291
1,1,17,8741
1,1,18,8731
1,1,19,8721
1,1,20,8711
1,1,21,8701
1,1,22,8691
1,1,23,8681
1,1,24,8671
1,1,25,8661
1,1,26,8651
1,1,27,8642
2,0,0,8733
2,0,1,8742
2,0,2,8292
2,0,3,8282
2,0,4,8272
2,0,5,8012
2,0,6,8022
2,0,7,8032
2,0,8,8042
2,0,9,8052
2,0,10,8062
2,0,11,8072
2,0,12,8082
2,0,13,8092
2,0,14,8102
2,0,15,8112
2,0,16,8122
2,0,17,8132
2,0,18,8142
2,0,19,8152
2,0,20,8161
2,1,0,8161
2,1,1,8151
2,1,2,8141
2,1,3,8131
2,1,4,8121
2,1,5,8111
2,1,6,8101
2,1,7,8091
2,1,8,8081
2,1,9,8071
2,1,10,8061
2,1,11,8051
2,1,12,8041
2,1,13,8031
2,1,14,8021
2,1,15,8011
2,1,16,8271
2,1,17,8281
2,1,18,8291
2,1,19,8741
2,1,20,8731
3,0,0,8834
3,0,1,8824
3,0,2,8814
3,0,3,8804
3,0,4,8794
3,0,5,8784
3,0,6,8774
3,0,7,8764
3,0,8,8754
3,0,9,8744
3,0,10,8382
3,0,11,8372
3,0,12,8362
3,0,13,8352
3,0,14,8342
3,0,15,8332
3,0,16,8322
3,0,17,8312
3,0,18,8302
3,0,19,8402
3,0,20,8412
3,0,21,8422
3,0,22,8432
3,0,23,8442
3,0,24,8462
3,0,25,8472
3,1,0,8471
3,1,1,8461
3,1,2,8441
3,1,3,8431
3,1,4,8421
3,1,5,8411
3,1,6,8401
3,1,7,8301
3,1,8,8311
3,1,9,8321
3,1,10,8331
3,1,11,8341
3,1,12,8351
3,1,13,8361
3,1,14,8371
3,1,15,8381
3,1,16,8743
3,1,17,8753
3,1,18,8763
3,1,19,8773
3,1,20,8783
3,1,21,8793
3,1,22,8803
3,1,23,8813
3,1,24,8823
3,1,25,8834
4,0,0,8764
4,0,1,8754
4,0,2,8744
4,0,3,8382
4,0,4,8372
4,0,5,8362
4,0,6,8352
4,0,7,8342
4,0,8,8332
4,0,9,8322
4,0,10,8312
4,0,11,8302
4,0,12,8402
4,0,13,8412
4,0,14,8422
4,0,15,8432
4,0,16,8442
4,0,17,8462
4,0,18,8472
4,1,0,8471
4,1,1,8461
4,1,2,8441
4,1,3,8431
4,1,4,8421
4,1,5,8411
4,1,6,8401
4,1,7,8301
4,1,8,8311
4,1,9,8321
4,1,10,8331
4,1,11,8341
4,1,12,8351
4,1,13,8361
4,1,14,8371
4,1,15,8381
4,1,16,8743
4,1,17,8753
4,1,18,8763
5,0,0,5701
5,0,1,5700G
5,0,2,5704F
5,0,3,5705
5,0,4,5706
5,0,5,5707
5,0,6,2338F
5,0,7,2318G
5,0,8,2543F
5,0,9,6178
5,0,10,5714
5,0,11,0531
5,0,12,0511
5,0,13,0501
5,0,14,0601
5,0,15,0611
5,0,16,0621
