Line,Stop,Date,Real_date,Score
7,5305G,20210901 - 20210917,20210916,89.71
7,5305G,20210901 - 20210917,20210917,89.03
7,5306G,20210901 - 20210917,20210906,66.64
7,5306G,20210901 - 20210917,20210907,90.26
7,5306G,20210901 - 20210917,20210908,94.56
7,5306G,20210901 - 20210917,20210909,90.91
7,5306G,20210901 - 20210917,20210910,88.43
7,5306G,20210901 - 20210917,20210911,86.24
7,5306G,20210901 - 20210917,20210912,89.63
7,5306G,20210901 - 20210917,20210913,92.72
7,5306G,20210901 - 20210917,20210914,84.19
7,5306G,20210901 - 20210917,20210915,84.21
7,5306G,20210901 - 20210917,20210916,91.96
7,5306G,20210901 - 20210917,20210917,90.27
7,5307G,20210901 - 20210917,20210906,75.89
7,5307G,20210901 - 20210917,20210907,85.49
7,5307G,20210901 - 20210917,20210908,93.97
7,5307G,20210901 - 20210917,20210909,89.78
7,5307G,20210901 - 20210917,20210910,90.72
7,5307G,20210901 - 20210917,20210911,88.87
7,5307G,20210901 - 20210917,20210912,89.41
7,5307G,20210901 - 20210917,20210913,94.4
7,5307G,20210901 - 20210917,20210914,87.98
7,5307G,20210901 - 20210917,20210915,89.41
7,5307G,20210901 - 20210917,20210916,84.72
7,5307G,20210901 - 20210917,20210917,83.82
7,5317G,20210901 - 20210917,20210906,72.91
7,5317G,20210901 - 20210917,20210907,86.32
7,5317G,20210901 - 20210917,20210908,86.58
7,5317G,20210901 - 20210917,20210909,89.3
7,5317G,20210901 - 20210917,20210910,85.7
7,5317G,20210901 - 20210917,20210911,93.16
7,5317G,20210901 - 20210917,20210912,88.37
7,5317G,20210901 - 20210917,20210913,83.25
7,5317G,20210901 - 20210917,20210914,87.67
7,5317G,20210901 - 20210917,20210915,82.42
7,5317G,20210901 - 20210917,20210916,82.84
7,5317G,20210901 - 20210917,20210917,95.55
7,5700G,20210901 - 20210917,20210906,70.08
7,5700G,20210901 - 20210917,20210907,95.46
7,5700G,20210901 - 20210917,20210908,92.04
7,5700G,20210901 - 20210917,20210909,88.75
7,5700G,20210901 - 20210917,20210910,90.8
7,5700G,20210901 - 20210917,20210911,92.12
7,5700G,20210901 - 20210917,20210912,88.3
7,5700G,20210901 - 20210917,20210913,85.83
7,5700G,20210901 - 20210917,20210914,90.32
7,5700G,20210901 - 20210917,20210915,90.74
7,5700G,20210901 - 20210917,20210916,87.71
7,5700G,20210901 - 20210917,20210917,86.59
7,5704F,20210901 - 20210917,20210906,68.99
7,5704F,20210901 - 20210917,20210907,88.62
7,5704F,20210901 - 20210917,20210908,93.08
7,5704F,20210901 - 20210917,20210909,83.27
7,5704F,20210901 - 20210917,20210910,88.21
7,5704F,20210901 - 20210917,20210911,91.01
7,5704F,20210901 - 20210917,20210912,82.18
7,5704F,20210901 - 20210917,20210913,94.08
7,5704F,20210901 - 20210917,20210914,93.66
7,5704F,20210901 - 20210917,20210915,93.83
7,5704F,20210901 - 20210917,20210916,88.81
7,5704F,20210901 - 20210917,20210917,93.35
7,5705,20210901 - 20210917,20210906,70.28
7,5705,20210901 - 20210917,20210907,96.18
7,5705,20210901 - 20210917,20210908,96.72
7,5705,20210901 - 20210917,20210909,90.6
7,5705,20210901 - 20210917,20210910,88.29
7,5705,20210901 - 20210917,20210911,92.08
7,5705,20210901 - 20210917,20210912,85.7
7,5705,20210901 - 20210917,20210913,85.39
7,5705,20210901 - 20210917,20210914,91.89
7,5705,20210901 - 20210917,20210915,92.32
7,5705,20210901 - 20210917,20210916,89.22
7,5705,20210901 - 20210917,20210917,94.62
7,5706,20210901 - 20210917,20210906,71.72
7,5706,20210901 - 20210917,20210907,87.9
7,5706,20210901 - 20210917,20210908,95.8
7,5706,20210901 - 20210917,20210909,86.12
7,5706,20210901 - 20210917,20210910,82.27
7,5706,20210901 - 20210917,20210911,89.64
7,5706,20210901 - 20210917,20210912,88.77
7,5706,20210901 - 20210917,20210913,81.73
7,5706,20210901 - 20210917,20210914,89.87
7,5706,20210901 - 20210917,20210915,93.47
7,5706,20210901 - 20210917,20210916,90.24
7,5706,20210901 - 20210917,20210917,89.87
7,5707,20210901 - 20210917,20210906,78.58
7,5707,20210901 - 20210917,20210907,93.39
7,5707,20210901 - 20210917,20210908,94.15
7,5707,20210901 - 20210917,20210909,85.85
7,5707,20210901 - 20210917,20210910,82.21
7,5707,20210901 - 20210917,20210911,90.69
7,5707,20210901 - 20210917,20210912,81.09
7,5707,20210901 - 20210917,20210913,86.18
7,5707,20210901 - 20210917,20210914,94.73
7,5707,20210901 - 20210917,20210915,89.13
