Line,Stop,Date,Real_date,Score
1,8111,20210901 - 20210917,20210906,90.66
1,8111,20210901 - 20210917,20210907,88.53
1,8111,20210901 - 20210917,20210908,94.23
1,8111,20210901 - 20210917,20210909,94.66
1,8111,20210901 - 20210917,20210910,90.9
1,8111,20210901 - 20210917,20210911,88.25
1,8111,20210901 - 20210917,20210912,85.59
1,8111,20210901 - 20210917,20210913,87.82
1,8111,20210901 - 20210917,20210914,91.1
1,8111,20210901 - 20210917,20210915,88.07
1,8111,20210901 - 20210917,20210916,93.16
1,8111,20210901 - 20210917,20210917,84.17
1,8121,20210901 - 20210917,20210906,88.83
1,8121,20210901 - 20210917,20210907,91.4
1,8121,20210901 - 20210917,20210908,93.4
1,8121,20210901 - 20210917,20210909,95.86
1,8121,20210901 - 20210917,20210910,90.74
1,8121,20210901 - 20210917,20210911,87.99
1,8121,20210901 - 20210917,20210912,85.15
1,8121,20210901 - 20210917,20210913,92.58
1,8121,20210901 - 20210917,20210914,93.37
1,8121,20210901 - 20210917,20210915,87.66
1,8121,20210901 - 20210917,20210916,92.6
1,8121,20210901 - 20210917,20210917,85.67
1,8131,20210901 - 20210917,20210906,90.27
1,8131,20210901 - 20210917,20210907,91.42
1,8131,20210901 - 20210917,20210908,93.87
1,8131,20210901 - 20210917,20210909,96.0
1,8131,20210901 - 20210917,20210910,93.16
1,8131,20210901 - 20210917,20210911,87.76
1,8131,20210901 - 20210917,20210912,85.69
1,8131,20210901 - 20210917,20210913,90.28
1,8131,20210901 - 20210917,20210914,94.53
1,8131,20210901 - 20210917,20210915,91.09
1,8131,20210901 - 20210917,20210916,91.16
1,8131,20210901 - 20210917,20210917,90.09
1,8141,20210901 - 20210917,20210906,94.12
1,8141,20210901 - 20210917,20210907,91.9
1,8141,20210901 - 20210917,20210908,91.89
1,8141,20210901 - 20210917,20210909,96.48
1,8141,20210901 - 20210917,20210910,91.54
1,8141,20210901 - 20210917,20210911,91.72
1,8141,20210901 - 20210917,20210912,85.33
1,8141,20210901 - 20210917,20210913,95.81
1,8141,20210901 - 20210917,20210914,95.09
1,8141,20210901 - 20210917,20210915,88.2
1,8141,20210901 - 20210917,20210916,91.89
1,8141,20210901 - 20210917,20210917,90.84
1,8151,20210901 - 20210917,20210906,92.13
1,8151,20210901 - 20210917,20210907,87.82
