Line,Date,Direction,Score
20,20210908,0,86.88
20,20210908,1,86.88
59,20210916,0,87.03
89,20210908,1,87.04
61,20210916,0,87.1
29,20210910,0,87.12
1,20210917,1,87.13
34,20210913,1,87.2
34,20210910,1,87.25
59,20210914,0,87.35
59,20210911,0,87.64
59,20210915,0,87.66
1,20210914,1,87.83
8,20210908,0,87.85
63,20210907,1,87.85
20,20210915,1,88.06
20,20210915,0,88.06
29,20210914,0,88.13
87,20210910,1,88.15
34,20210916,1,88.2
8,20210916,1,88.26
63,20210909,1,88.3
89,20210913,1,88.35
8,20210912,1,88.36
1,20210913,0,88.38
63,20210917,1,88.82
63,20210915,1,88.84
34,20210914,1,88.89
1,20210915,0,88.94
89,20210915,1,89.05
34,20210909,1,89.13
87,20210914,0,89.19
29,20210906,1,89.25
8,20210908,1,89.29
1,20210907,1,89.3
20,20210917,1,89.39
20,20210917,0,89.39
34,20210915,1,89.4
8,20210907,1,89.48
1,20210908,1,89.49
8,20210913,1,89.6
8,20210909,1,89.69
1,20210910,0,89.69
20,20210907,1,89.77
20,20210907,0,89.77
63,20210910,1,89.8
8,20210911,0,89.83
87,20210909,1,89.85
8,20210915,1,89.9
8,20210914,1,89.91
1,20210912,0,89.94
61,20210914,1,89.96
87,20210916,1,90.04
87,20210914,1,90.16
8,20210910,0,90.27
8,20210911,1,90.28
87,20210917,1,90.29
87,20210913,1,90.31
29,20210915,0,90.31
87,20210907,1,90.34
1,20210906,1,90.39
8,20210910,1,90.42
20,20210913,1,90.57
20,20210913,0,90.57
1,20210908,0,90.79
29,20210910,1,90.89
20,20210909,0,90.92
20,20210909,1,90.92
20,20210910,0,90.93
20,20210910,1,90.93
87,20210911,1,90.95
87,20210908,0,90.99
1,20210911,0,91.0
20,20210916,0,91.11
20,20210916,1,91.11
8,20210913,0,91.2
1,20210906,0,91.23
87,20210913,0,91.33
1,20210907,0,91.41
87,20210917,0,91.48
1,20210911,1,91.5
8,20210912,0,91.55
87,20210912,1,91.63
59,20210907,0,91.73
63,20210916,0,91.94
20,20210914,1,91.96
20,20210914,0,91.96
8,20210917,1,92.03
59,20210912,0,92.12
20,20210906,0,92.29
20,20210906,1,92.29
29,20210915,1,92.38
87,20210908,1,92.4
1,20210916,0,92.42
63,20210914,0,92.46
87,20210916,0,92.51
1,20210914,0,92.62
8,20210907,0,92.68
87,20210907,0,92.82
87,20210910,0,92.88
20,20210911,1,92.95
20,20210911,0,92.95
1,20210909,0,93.09
87,20210915,0,93.17
8,20210914,0,93.18
63,20210911,0,93.19
63,20210908,1,93.39
87,20210915,1,93.41
63,20210912,0,93.65
1,20210909,1,93.7
63,20210913,0,93.79
87,20210911,0,93.79
87,20210909,0,93.8
63,20210915,0,93.92
63,20210917,0,94.01
63,20210908,0,94.19
63,20210910,0,94.55
63,20210909,0,95.13
63,20210907,0,96.29
